time,open,high,low,close,Volume,Volume MA
1547672400,120.82,122.2,120.59,121.57,19691.56784,22748.161967499986
1547676000,121.55,121.85,120.98,121.5,8241.78342,22592.053737999984
1547679600,121.49,122.7,121.22,121.48,12936.81094,22814.098492499987
1547683200,121.49,121.92,121.1,121.16,8001.65758,22378.329575999986
1547686800,121.2,121.93,120.9,121.47,9655.49575,22148.599546999983
1547690400,121.48,121.82,118.91,119.25,18280.4209,22562.062055999988
1547694000,119.23,120.19,119.16,120.1,22796.11997,23100.748575999987
1547697600,120.12,120.55,119.9,120.27,13270.72823,22523.436015499985
1547701200,120.29,120.43,119.63,120.12,8033.36893,21601.620410999985
1547704800,120.13,121.99,119.84,120.37,19248.91,21839.983837999982
1547708400,120.38,120.81,120.02,120.66,12911.27704,22062.197920499984
1547712000,120.69,120.7,119.93,120.45,11700.04352,20083.843163999984
1547715600,120.46,120.66,119.3,119.77,19123.13526,18843.491104499983
1547719200,119.78,121.37,116.8,120.1,60703.06885,20490.787400499983
1547722800,120.16,120.81,119.67,120.08,20521.32612,19745.996578999984
1547726400,120.08,120.26,118.8,119.54,17574.42501,18956.921421999985
1547730000,119.53,119.86,119.03,119.09,9766.27534,18309.457951999986
1547733600,119.07,119.76,118.4,119.42,14299.65309,17212.176878499984
1547737200,119.42,121.5,118.9,120.39,29206.24951,17550.862064499983
1547740800,120.38,122.99,119.79,119.96,49571.75555,19276.703642499986
1547744400,119.96,120.96,119.05,120.54,22978.5346,19441.051980499986
1547748000,120.55,122.12,120.46,120.89,23343.03373,20196.114495999987
1547751600,120.88,121.79,120.86,121.39,8470.30908,19972.789402999988
1547755200,121.39,121.7,120.43,120.99,8293.37265,19987.375156499987
1547758800,120.97,122.38,120.82,120.94,14082.05168,20208.702952999985
1547762400,120.94,121.48,120.46,121.12,5254.3518,19557.399497999984
1547766000,121.12,122.74,121.12,121.54,20449.66297,19440.076647999984
1547769600,121.56,121.98,120.98,121.13,12167.94819,19384.937645999984
1547773200,121.15,121.8,120.6,121.05,8324.91656,19399.515027499983
1547776800,121.05,121.41,120.88,121.16,5138.25786,18693.982420499986
1547780400,121.19,121.41,120.86,121.09,5469.05452,18321.871294499986
1547784000,121.07,121.17,120,120.33,9416.74897,18207.706566999987
1547787600,120.31,120.71,120.02,120.45,7732.3122,17638.165413999985
1547791200,120.45,121.4,120.43,121.3,5996.87855,14902.855898999987
1547794800,121.3,121.4,120.66,121.31,8752.35611,14314.407398499989
1547798400,121.32,121.53,120.88,121.07,10517.12292,13961.542293999988
1547802000,121.07,121.9,121.01,121.25,12831.30696,14114.793874999988
1547805600,121.25,121.45,119.63,119.86,17038.61739,14251.74208999999
1547809200,119.83,120.5,119.8,120.46,10907.76069,13336.817648999993
1547812800,120.46,120.55,118.68,119.84,18982.21197,11807.340469999992
1547816400,119.86,120.27,119.69,119.89,7095.7878,11013.20312999999
1547820000,119.89,119.95,119.22,119.79,7952.37338,10243.670112499993
1547823600,119.8,121.14,119.73,120.8,12230.56276,10431.682796499992
1547827200,120.81,120.9,119.52,119.63,11577.77179,10595.902753499991
1547830800,119.66,119.76,117.66,118.28,18983.15632,10840.957985499992
1547834400,118.24,119.39,118.08,118.81,12254.02785,11190.941787999993
1547838000,118.8,119.09,117.72,118.96,10246.38301,10680.777789999991
1547841600,118.97,119.63,118.66,119.14,7537.01181,10449.230970999992
1547845200,119.14,119.56,118.82,119.1,4974.50767,10281.71052649999
1547848800,119.12,119.49,118.67,118.84,4212.89391,10235.44232899999
1547852400,118.91,119.49,118.75,119.17,5306.71481,10227.32534349999
1547856000,119.16,121.08,119.14,119.39,21043.17803,10808.64679649999
1547859600,119.38,120.09,119.26,119.87,6614.55115,10752.758743999992
1547863200,119.87,120.48,119.61,119.97,6534.69052,10779.649342499992
1547866800,119.98,120.14,119.66,119.73,4190.76981,10551.570027499993
1547870400,119.73,120,119.73,119.9,3193.16802,10185.372282499993
1547874000,119.86,120.38,119.7,120.03,5128.00989,9800.207428999993
1547877600,120,120.12,119.7,119.75,3728.07574,9134.680346499994
1547881200,119.75,120,119.7,119.9,3402.68217,8759.426420499993
1547884800,119.95,120.41,119.88,120.36,6589.64644,8139.798143999993
1547888400,120.36,120.44,120,120.29,4558.83796,8012.950651999994
1547892000,120.28,125.29,120.28,124,92520.2932,12241.346642999993
1547895600,124,124.3,123,123.49,24811.62607,12870.399808499995
1547899200,123.5,123.75,123.24,123.52,13373.67477,12960.194957499994
1547902800,123.51,123.64,123.05,123.43,11298.58177,12575.966229999995
1547906400,123.43,123.5,123.12,123.31,6364.33521,12281.481597999993
1547910000,123.3,123.7,123.21,123.32,8236.00677,12180.962785999993
1547913600,123.27,123.85,123.2,123.67,8245.12167,12216.368278999993
1547917200,123.68,123.93,123.5,123.72,13526.82529,12643.984159999995
1547920800,123.78,123.92,121.54,122.89,36029.0275,14234.790839499992
1547924400,122.86,123.69,122.71,123.31,14900.23346,14714.466771999994
1547928000,123.35,123.57,122.61,123.14,12571.96209,14290.905974999992
1547931600,123.16,123.45,122.85,123.12,5402.75208,14230.316021499992
1547935200,123.16,123.5,122.89,123.07,4926.32736,14149.897863499991
1547938800,123.1,123.29,122.6,122.6,6113.41599,14246.030172499992
1547942400,122.61,123.11,122,122.92,12175.66194,14695.154868499993
1547946000,122.93,123.32,122.5,122.64,8741.40518,14875.824632999993
1547949600,122.62,122.85,122.31,122.56,7358.95633,15057.368662499994
1547953200,122.56,122.94,122.51,122.62,7747.15926,15274.592516999994
1547956800,122.62,123.14,122.61,123.02,12797.68101,15584.994245499995
1547960400,123.02,123.04,122.49,122.59,8193.83573,15766.744133999997
1547964000,122.57,122.92,121.97,122.27,25967.84463,12439.121705499996
